enc_file_size_bits,time_enc_ns,file,time_dec_ns,bpp,num_points
3612152,125204385,T86-868341.ply,33844354,4.1598312183807975,868341
3645224,104682985,T87-876081.ply,34742131,4.160829877602642,876081
3712656,191388053,T88-892290.ply,140269357,4.160817671384864,892290
3660472,156336421,T89-903684.ply,144024836,4.050610611673992,903684
3683208,147754709,T90-910038.ply,35779008,4.047312310035405,910038
3701192,224130659,T91-914850.ply,35461075,4.045681805760507,914850
3687768,109733849,T92-921216.ply,139376459,4.003152355147979,921216
3715632,172162699,T93-928971.ply,143832386,3.9997287321132737,928971
3755880,180823609,T94-938901.ply,37047058,4.000293960705123,938901
3806584,262184678,T95-951735.ply,67950034,3.9996259462980768,951735
3857056,270057483,T96-964629.ply,145272481,3.998486464744477,964629
3890416,153367301,T97-973563.ply,55164793,3.996059833826881,973563
3920376,125769536,T98-981783.ply,146230062,3.993118642306905,981783
3937648,181906754,T99-986343.ply,148596999,3.992169052753454,986343
3951080,220456321,T100-990075.ply,146498074,3.990687574173674,990075
3973024,248193604,T101-996000.ply,152183371,3.988979919678715,996000
4000752,182091625,T102-1003683.ply,40877099,3.986071299404294,1003683
4025632,225106105,T103-1011159.ply,39649589,3.9812057253112516,1011159
4058712,280727971,T104-1020270.ply,124620910,3.978076391543415,1020270
4117704,220323038,T105-1035426.ply,85662826,3.9768211344895725,1035426
4141984,274831695,T106-1042449.ply,40682314,3.973320517358643,1042449
4166480,232444299,T107-1053144.ply,174020012,3.956230107183823,1053144
4183392,270465369,T108-1057554.ply,91000926,3.955724246705133,1057554
4204304,157634238,T109-1065120.ply,84688576,3.9472585248610486,1065120
4226984,206112157,T110-1071159.ply,42192797,3.946177925032605,1071159
4241488,159782445,T111-1075725.ply,40902469,3.9429110599828023,1075725
4254696,266914799,T112-1079748.ply,51612464,3.94045277231354,1079748
4263432,264386894,T113-1082175.ply,156022379,3.939688128075404,1082175
4265336,196676636,T114-1082778.ply,44469603,3.93925255223139,1082778
4272856,135596625,T115-1085112.ply,166258202,3.9377096557774682,1085112
4282216,317896907,T116-1087941.ply,163444773,3.9360737392928478,1087941
4293512,160752396,T117-1091295.ply,42577849,3.9343275649572296,1091295
4297480,133769377,T118-1092495.ply,163231055,3.9336381402203213,1092495
