enc_file_size_bits,file,time_dec_ns,time_enc_ns,bpp,num_points
8525464,T86-645444.ply,119230579,155179995,13.208681155917477,645444
8702144,T87-658929.ply,126381190,162573031,13.206497209866313,658929
8838400,T88-669582.ply,128994551,169822187,13.199876938149472,669582
8945848,T89-678060.ply,129530126,171317743,13.19329852815385,678060
9054272,T90-686640.ply,128747999,171057675,13.186345100780613,686640
9134824,T91-693024.ply,131963831,173506649,13.181107724984994,693024
9258536,T92-702906.ply,146216523,178046032,13.1717982205302,702906
9481312,T93-720333.ply,136941166,185563592,13.162401278297676,720333
9665984,T94-734859.ply,142348699,188788752,13.153521968159879,734859
9850080,T95-749175.ply,144513279,189875179,13.147902692962258,749175
9915944,T96-754428.ply,143089748,190161096,13.14365850684227,754428
9936016,T97-756081.ply,144154235,190828427,13.141470292204142,756081
9954752,T98-757587.ply,139988602,189704479,13.140077641247803,757587
9990696,T99-760212.ply,139109564,184195215,13.141986708970656,760212
10011096,T100-769653.ply,146680203,193489148,13.007285101207946,769653
10112288,T101-776637.ply,141663133,194691432,13.020610658518716,776637
10180920,T102-781332.ply,143505709,188511701,13.030209949163735,781332
10223680,T103-785247.ply,143606758,190178127,13.019699534031966,785247
10271136,T104-789552.ply,144396009,191257031,13.008815125539547,789552
10340128,T105-794847.ply,144723563,191437600,13.008953924465967,794847
10360768,T106-798909.ply,146726610,196604380,12.968645990970186,798909
10377968,T107-800172.ply,146184123,199499401,12.969671520623066,800172
10404520,T108-802155.ply,147604336,193422863,12.97071014953469,802155
10435520,T109-804510.ply,148224199,199510040,12.971274440342569,804510
10500960,T110-809352.ply,146690622,193927420,12.974527770364439,809352
10593176,T111-816243.ply,149667756,195110067,12.97796857063399,816243
10602472,T112-816939.ply,151599239,196101788,12.97829091278541,816939
10607096,T113-817311.ply,148896450,199642899,12.978041406514778,817311
10686008,T114-823959.ply,150410900,197549273,12.969101617920309,823959
10770456,T115-829941.ply,153151911,201377202,12.977375500186158,829941
10847248,T116-836160.ply,153239315,200019386,12.972694221201683,836160
10919512,T117-841356.ply,160317160,209936837,12.978468091984844,841356
10986944,T118-846534.ply,161371127,215598105,12.978739188266507,846534
11062776,T119-852081.ply,163597994,216974025,12.983244550694124,852081
11146072,T120-858243.ply,161406102,216190947,12.987081747244078,858243
11261952,T121-867108.ply,169809544,221615721,12.987946138197318,867108
11412152,T122-878829.ply,166923381,228824752,12.985634292905674,878829
11567264,T123-890541.ply,174153722,227375244,12.989030263626267,890541
11677760,T124-899727.ply,171798414,231761261,12.979225920751517,899727
11812952,T125-911100.ply,172076346,219994581,12.965593238941938,911100
11912208,T126-918822.ply,173815398,222964030,12.964652566002991,918822
12006960,T127-926376.ply,178841815,235437525,12.961216611829322,926376
12096464,T128-933495.ply,188301528,238077097,12.95825258839094,933495
12170176,T129-939330.ply,183491616,239498793,12.95623050472145,939330
12235976,T130-944607.ply,185513688,240004241,12.953509766495484,944607
12286904,T131-948705.ply,185459016,241175398,12.95123773986645,948705
12342368,T132-953214.ply,190121972,239546262,12.948160643884794,953214
12414936,T133-959028.ply,190229544,247337615,12.945332148800661,959028
12524720,T134-967848.ply,188628901,247693383,12.940792355824469,967848
12651464,T135-978174.ply,190748607,248504745,12.93375616199163,978174
12700248,T136-982014.ply,186769574,245652414,12.932858391020902,982014
12781504,T137-988440.ply,195573467,252806833,12.93098620047752,988440
12873520,T138-995679.ply,193180458,243691757,12.929387885051307,995679
12945344,T139-1001412.ply,188742324,247555664,12.927090947582014,1001412
13002976,T140-1005978.ply,201665863,265334851,12.92570612876226,1005978
13079848,T141-1012098.ply,198304750,260056922,12.923499503012554,1012098
13168672,T142-1019193.ply,200912912,248582110,12.920685287281211,1019193
13252536,T143-1026543.ply,199280379,252033613,12.909869338157291,1026543
13321872,T144-1032018.ply,192924468,254325281,12.908565548275321,1032018
13378408,T145-1036593.ply,194735816,260619065,12.906133844237806,1036593
13422552,T146-1040115.ply,197507655,255783978,12.904873018848876,1040115
13477840,T147-1044570.ply,196784348,264662169,12.902763816690122,1044570
13543192,T148-1049775.ply,202433754,263120397,12.901042604367603,1049775
13613728,T149-1055448.ply,198052366,259859831,12.89853029234979,1055448
13692512,T150-1061754.ply,203357657,264561801,12.896124714387701,1061754
13811536,T151-1071315.ply,204873260,297830329,12.89213349948428,1071315
13951488,T152-1082628.ply,209603842,280872843,12.886686839800928,1082628
14083816,T153-1093350.ply,206538703,284629290,12.881342662459414,1093350
14182168,T154-1101384.ply,197569050,279358754,12.876678796859224,1101384
14252368,T155-1107093.ply,205496088,268951244,12.873686311809397,1107093
14322976,T156-1112832.ply,197876797,279539433,12.870744191396366,1112832
14396320,T157-1118841.ply,207603210,269313112,12.86717236854924,1118841
14522392,T158-1129029.ply,211915668,290374075,12.86272717529842,1129029
14622960,T159-1137168.ply,210256095,276610910,12.85910261280655,1137168
14715048,T160-1144509.ply,210319585,285279168,12.857083692657724,1144509
14818552,T161-1152753.ply,216291756,281343506,12.85492382149515,1152753
14894136,T162-1158861.ply,220887385,300018323,12.852392133310207,1158861
14988944,T163-1166568.ply,217421795,286542889,12.848752923104353,1166568
15047984,T164-1171344.ply,233847663,301698785,12.84676747394446,1171344
15102016,T165-1175730.ply,216616825,300338864,12.844799401223069,1175730
15175048,T166-1181571.ply,222114406,310053856,12.843111416918662,1181571
15250760,T167-1187784.ply,220025940,302738134,12.839674553622544,1187784
15341776,T168-1195149.ply,223951312,290827635,12.836705716191036,1195149
15456216,T169-1204401.ply,218827972,300961732,12.833114552379149,1204401
15540816,T170-1211295.ply,223435274,301240075,12.829918393124714,1211295
15602064,T171-1216374.ply,224318140,308099941,12.826699682827815,1216374
15672456,T172-1222080.ply,222082206,300423393,12.82441084053417,1222080
15787808,T173-1231044.ply,228477791,304914036,12.824730878831302,1231044
15967216,T174-1244934.ply,225277259,311623630,12.825753011806249,1244934
16094104,T175-1254897.ply,243549941,313739478,12.825039823985554,1254897
16180784,T176-1261704.ply,242662858,330752407,12.82454838852853,1261704
16024152,T177-1249776.ply,273811250,329874581,12.821619234166763,1249776
16103416,T178-1256208.ply,237403303,317449947,12.819068179791882,1256208
16173120,T179-1261797.ply,239915024,305912007,12.81752928561409,1261797
16222128,T180-1265592.ply,229346181,318671378,12.817818064589536,1265592
16288152,T181-1270899.ply,237436315,326423999,12.816244249149618,1270899
16323760,T182-1273821.ply,236004069,319192356,12.814798939568432,1273821
16345992,T183-1275612.ply,233415513,317284758,12.814235049529167,1275612
16409128,T184-1280682.ply,234381495,320660700,12.812804427640897,1280682
16488496,T185-1286973.ply,238133151,318631534,12.811842983496934,1286973
16554280,T186-1292199.ply,237391010,331745320,12.810937015119189,1292199
16648704,T187-1299885.ply,253136662,324190981,12.807828384818658,1299885
16715824,T188-1305225.ply,250453259,341871272,12.8068524583884,1305225
16753152,T189-1308222.ply,239157473,331137210,12.806046680150617,1308222
16808616,T190-1312620.ply,250505096,336752822,12.805393792567537,1312620
16886272,T191-1318851.ply,242047543,326112936,12.803775407532768,1318851
16944400,T192-1323738.ply,238134214,322294284,12.800418209645715,1323738
17014952,T193-1329471.ply,240443315,342023368,12.798287439139326,1329471
17089568,T194-1335522.ply,242161166,334196708,12.796171085163703,1335522
17190064,T195-1343466.ply,254381046,349642949,12.79531004134083,1343466
17488224,T196-1365642.ply,254432693,355331137,12.805862737086294,1365642
17698288,T197-1382424.ply,260502027,368415168,12.802358755345683,1382424
17827256,T198-1392855.ply,258904370,343215704,12.799075280628637,1392855
17949208,T199-1402758.ply,259324508,346941843,12.795655415973389,1402758
18078248,T200-1413519.ply,263064473,357904334,12.789533073131667,1413519
18221000,T201-1425195.ply,262590013,360391699,12.784917151688015,1425195
18391272,T202-1439052.ply,267057612,348583442,12.780130252416175,1439052
18489880,T203-1447197.ply,270495921,362719656,12.776339364993156,1447197
18656864,T204-1460361.ply,269301070,368497452,12.77551509524015,1460361
18794872,T205-1471077.ply,270707127,380187038,12.776266640019523,1471077
18866688,T206-1476837.ply,272699895,376289677,12.775064546730615,1476837
18957152,T207-1484307.ply,272594968,389810076,12.771719058119379,1484307
19127952,T208-1498395.ply,283383352,383347194,12.765627221126605,1498395
19233208,T209-1506834.ply,283515931,395582713,12.76398594669353,1506834
19369768,T210-1517772.ply,280730567,380894194,12.761974789362302,1517772
19494072,T211-1527693.ply,280770462,379155222,12.760464307946688,1527693
19607304,T212-1536948.ply,285305888,388893877,12.757298229998673,1536948
19768240,T213-1550346.ply,302400200,400306503,12.750856905490775,1550346
19954376,T214-1565562.ply,280442186,396811708,12.745822905768025,1565562
20074488,T215-1575432.ply,293207699,390394592,12.742211660039914,1575432
20201064,T216-1585743.ply,293315912,410093159,12.739179047298332,1585743
20307824,T217-1596336.ply,289496278,391040644,12.72152228603502,1596336
20406496,T218-1604169.ply,297402287,412547141,12.720914068280836,1604169
20504824,T219-1612041.ply,287815155,397870184,12.719790625672672,1612041
20580360,T220-1618215.ply,288895932,392322538,12.717939210797082,1618215
20662464,T221-1624875.ply,289129360,408509108,12.716340641587815,1624875
20734296,T222-1630674.ply,312780309,405936252,12.715169310358784,1630674
20831272,T223-1638876.ply,296702063,410435561,12.710706606235005,1638876
20928808,T224-1646832.ply,298080568,421190673,12.708526431354262,1646832
21032128,T225-1655745.ply,303982147,410335563,12.702516389903035,1655745
21193776,T226-1668279.ply,307382685,415071136,12.70397577383639,1668279
21324816,T227-1678155.ply,304024947,431107553,12.707298193551846,1678155
21408216,T228-1684626.ply,322828716,442088710,12.70799334689124,1684626
21482656,T229-1690575.ply,313000552,416445964,12.707307277109859,1690575
21645312,T230-1703394.ply,303155417,424565473,12.707166985442006,1703394
21792728,T231-1715166.ply,314024253,420857098,12.705900186920683,1715166
21912352,T232-1724808.ply,310398762,430553825,12.704226789300606,1724808
22012992,T233-1732812.ply,311919525,436742542,12.703623936122327,1732812
22158824,T234-1744479.ply,314948586,443499215,12.702258955252542,1744479
22342048,T235-1759239.ply,324168118,444275862,12.699836690750944,1759239
22520416,T236-1773657.ply,314435604,444839830,12.69716523544293,1773657
22707992,T237-1788840.ply,314551171,432150820,12.694255495181235,1788840
22862944,T238-1801098.ply,320131658,435818800,12.693892281263985,1801098
23052376,T239-1816398.ply,334236252,461969337,12.691258193413558,1816398
23179216,T240-1827090.ply,331842933,464013722,12.68641172574969,1827090
23255912,T241-1833573.ply,332011019,471681453,12.6833848447812,1833573
23292008,T242-1836837.ply,345985859,456916901,12.68049805181407,1836837
23361952,T243-1842603.ply,341117659,468797434,12.678776708818992,1842603
23515376,T244-1856154.ply,338412134,469979141,12.66887122512464,1856154
23725312,T245-1872897.ply,344445811,484598610,12.667707834440442,1872897
23913960,T246-1888218.ply,347795283,468989955,12.664830014330972,1888218
24064312,T247-1900464.ply,351156237,488691037,12.662335092903628,1900464
24174840,T248-1909560.ply,334805880,476986283,12.65990071011123,1909560
24266744,T249-1917123.ply,346332039,489229506,12.657896233053382,1917123
24342160,T250-1923288.ply,347120889,490955484,12.656534018826093,1923288
24405512,T251-1928544.ply,346418992,475334866,12.654889906582374,1928544
24459168,T252-1932897.ply,355688287,482296293,12.654149703786596,1932897
24545808,T253-1940001.ply,337442826,476522403,12.652471828622769,1940001
24648712,T254-1948452.ply,350653604,482587700,12.650407605627441,1948452
24735032,T255-1955508.ply,369672456,494116613,12.648903507426203,1955508
24788096,T256-1959858.ply,368662793,506324129,12.647904082846818,1959858
24849152,T257-1964778.ply,352466033,509722604,12.647307736548353,1964778
24894080,T258-1968468.ply,375850825,503514089,12.646423513107655,1968468
24904904,T259-1969380.ply,369363516,504283853,12.646063228021001,1969380
24910008,T260-1969797.ply,350896270,508111392,12.645977225064309,1969797
