num_points,enc_file_size_bits,time_dec_ns,time_enc_ns,bpp,file
864468,2807520,827998799,1440613351,3.247685281583587,T85-864468.ply
868341,2820256,822995998,1486083648,3.247866909428439,T86-868341.ply
876081,2845496,397406287,1034025245,3.247982777848167,T87-876081.ply
892290,2898336,490243902,1080509672,3.2481995763709106,T88-892290.ply
903684,2936032,404380081,1162216508,3.248958706804591,T89-903684.ply
910038,2954544,400002377,1209168815,3.246616075372677,T90-910038.ply
914850,2968744,529231701,1190073274,3.245060938951741,T91-914850.ply
921216,2988600,485540680,1449906080,3.2441902876198414,T92-921216.ply
928971,3010672,666093307,1346378902,3.240867583595182,T93-928971.ply
938901,3041480,420569844,1369342556,3.239404367446621,T94-938901.ply
951735,3084272,659069976,1668283058,3.2406835936473914,T95-951735.ply
964629,3127824,435048863,1397254829,3.2425149979940473,T96-964629.ply
973563,3154672,590504980,1158351014,3.240336783546622,T97-973563.ply
981783,3178888,436705472,1174522686,3.2378723200544317,T98-981783.ply
986343,3192648,501483021,1274681579,3.2368537111329427,T99-986343.ply
990075,3203976,544498682,1330654543,3.2360942352852056,T100-990075.ply
996000,3220768,563762732,1180371966,3.2337028112449797,T101-996000.ply
1003683,3242936,438801848,1685534747,3.2310360940655567,T102-1003683.ply
1011159,3263704,479303544,1199571587,3.227686249145782,T103-1011159.ply
1020270,3290960,452131042,1194995819,3.225577543199349,T104-1020270.ply
1035426,3339400,455286742,1420700190,3.2251459785634125,T105-1035426.ply
1042449,3359096,493262093,1429235529,3.2223120747393876,T106-1042449.ply
1053144,3394800,650929504,1395413006,3.223490804676284,T107-1053144.ply
1057554,3407816,535102248,1348959942,3.2223564943255854,T108-1057554.ply
1065120,3431016,471469225,1270825413,3.221248310049572,T109-1065120.ply
1071159,3449400,463505539,1678541505,3.2202502149540826,T110-1071159.ply
1075725,3462888,499446704,1273834792,3.219120128285575,T111-1075725.ply
1079748,3474136,522368600,1314822051,3.2175433527082244,T112-1079748.ply
1082175,3480648,472122134,1367519629,3.2163448610437313,T113-1082175.ply
1082778,3482104,567846154,1592919039,3.2158983651311717,T114-1082778.ply
1085112,3488432,752976609,1378503335,3.21481284881192,T115-1085112.ply
1087941,3495696,472546205,1499321701,3.213130123784286,T116-1087941.ply
1091295,3504728,594741782,1419688922,3.211531254152177,T117-1091295.ply
1092495,3507832,751880077,1298369168,3.210844900891995,T118-1092495.ply
