time_dec_ns,num_points,enc_file_size_bits,bpp,time_enc_ns,file
352176022,786927,2591368,3.2930220973482927,1175359429,T85-786927.ply
531476201,791178,2603360,3.2904858325180935,939308495,T86-791178.ply
360920303,798111,2624976,3.2889861184722426,933858525,T87-798111.ply
366634509,811284,2666424,3.2866714985134675,1113183040,T88-811284.ply
422389567,826935,2713896,3.2818734241506284,978560188,T89-826935.ply
515404373,839484,2753672,3.2801959298807364,1055731960,T90-839484.ply
509974611,848712,2780872,3.276579098681296,1119607051,T91-848712.ply
515020448,857484,2806768,3.273259909222796,1003892053,T92-857484.ply
516370994,867342,2835848,3.2695845468108313,1129818928,T93-867342.ply
513327261,873087,2853016,3.2677339142605493,1018829947,T94-873087.ply
526326490,880953,2875504,3.2640833279414454,1382648489,T95-880953.ply
713869870,886953,2891952,3.2605470639368717,1224772705,T96-886953.ply
561349170,894534,2917560,3.2615417636445345,1187490490,T97-894534.ply
528878921,903522,2948296,3.2631147885718335,1043179964,T98-903522.ply
410142605,916206,2989632,3.2630565615156417,1201155878,T99-916206.ply
564166649,929592,3032448,3.2621279012728164,1356160429,T100-929592.ply
427306330,942480,3073000,3.260546642899584,1222999296,T101-942480.ply
632939654,953982,3107864,3.2577805451255895,1135951935,T102-953982.ply
593242887,962652,3132704,3.254243485704076,1288752055,T103-962652.ply
576802912,969252,3152112,3.2521078109717596,1430104865,T104-969252.ply
479495120,974082,3166504,3.250757123116945,1169504950,T105-974082.ply
556272135,975831,3171456,3.2500053800299438,1355569587,T106-975831.ply
432323670,976170,3172312,3.249753628978559,1653841709,T107-976170.ply
433587830,983427,3196480,3.250348017697297,1257170981,T108-983427.ply
442932342,991746,3226408,3.253260411435993,1373239087,T109-991746.ply
558420543,1003470,3265072,3.253781378616202,1528522213,T110-1003470.ply
639672588,1009221,3282152,3.2521637976221265,1273767472,T111-1009221.ply
578009191,1017246,3306504,3.250446794580662,1222323383,T112-1017246.ply
577147527,1026105,3334744,3.249905224124237,1630935814,T113-1026105.ply
586561012,1037940,3372288,3.249020174576565,1233929944,T114-1037940.ply
469712375,1051344,3415208,3.248421068651174,1362496154,T115-1051344.ply
672799745,1064781,3456432,3.246143573185472,1415317003,T116-1064781.ply
473753770,1073724,3483688,3.2444911355245853,1303103563,T117-1073724.ply
475051613,1081455,3506840,3.242705429259655,1307088440,T118-1081455.ply
483694305,1087956,3525304,3.2403001591976146,1526127150,T119-1087956.ply
614884534,1097184,3552136,3.237502551987634,1408907892,T120-1097184.ply
491429834,1103817,3571248,3.235362383438559,1574125364,T121-1103817.ply
612997034,1108713,3585040,3.2335148951983066,1307784108,T122-1108713.ply
766731830,1112754,3597184,3.232685750848795,1435894932,T123-1112754.ply
620636624,1117254,3609040,3.230277090079785,1441682040,T124-1117254.ply
625849330,1123170,3625568,3.227977955251654,1541543791,T125-1123170.ply
494832413,1133790,3657272,3.2257049365402763,1373447049,T126-1133790.ply
542454929,1143975,3688488,3.224273257719793,1398721116,T127-1143975.ply
543415990,1153476,3715944,3.221518263058789,1425389028,T128-1153476.ply
704143476,1157826,3728320,3.220103884348771,1354027491,T129-1157826.ply
643669170,1161549,3739384,3.2193080102518277,1362141760,T130-1161549.ply
