enc_file_size_bits,time_enc_ns,time_dec_ns,file,bpp,num_points
2644560,194596558,103739398,T87-658929.ply,4.013421779888273,658929
2685536,162792909,110882432,T88-669582.ply,4.010764924983049,669582
2713584,177249372,28280415,T89-678060.ply,4.001982125475622,678060
2747512,85172198,29561181,T90-686640.ply,4.00138646161016,686640
2770888,92973387,28991993,T91-693024.ply,3.9982569146234472,693024
2813624,105898841,132081012,T92-702906.ply,4.0028453306701035,702906
2887904,197846350,29202109,T93-720333.ply,4.009123558132142,720333
2948352,142959404,125488704,T94-734859.ply,4.012132939788449,734859
3002232,222741132,30012896,T95-749175.ply,4.007384122534789,749175
3020544,90471562,29890439,T96-754428.ply,4.003753837344319,754428
3026120,110026260,77228631,T97-756081.ply,4.002375406867783,756081
3031376,134715763,30881146,T98-757587.ply,4.001356939863013,757587
3041520,192977914,92362743,T99-760212.ply,4.000883963946899,760212
2972688,221956903,31562850,T100-769653.ply,3.862374342723279,769653
3000120,285007919,139792537,T101-776637.ply,3.8629630058830573,776637
3017480,431797377,168875182,T102-781332.ply,3.8619690477287505,781332
3004352,269522047,137013427,T103-785247.ply,3.825996151529391,785247
2985256,227007487,127358813,T104-789552.ply,3.780949196506373,789552
2997608,225995538,117321180,T105-794847.ply,3.771301898352765,794847
2931024,321115180,50920995,T106-798909.ply,3.6687833032297794,798909
2935336,132471966,33002783,T107-800172.ply,3.6683812980209254,800172
2943584,273523944,32030888,T108-802155.ply,3.6695950283922683,802155
2952568,174140455,48375585,T109-804510.ply,3.6700202607798538,804510
2971104,265843311,130446598,T110-809352.ply,3.670966402751831,809352
2997128,177646284,122378698,T111-816243.ply,3.6718575228210226,816243
2999560,232569222,32581170,T112-816939.ply,3.671706210622825,816939
3000488,99783431,113345607,T113-817311.ply,3.671170460204255,817311
2992728,141561763,79806159,T114-823959.ply,3.6321321813342653,823959
3013680,261544741,134067674,T115-829941.ply,3.6311978803312526,829941
3011536,172818597,95372534,T116-836160.ply,3.6016264829697664,836160
3032000,476085211,150674733,T117-841356.ply,3.6037063977674135,841356
3042824,146097737,118148182,T118-846534.ply,3.594449838990519,846534
3063952,138096920,130414607,T119-852081.ply,3.5958459348348337,852081
3086992,229351045,39643479,T120-858243.ply,3.596874078786544,858243
3123576,109877337,34523931,T121-867108.ply,3.6022917560442296,867108
3167176,107022742,34565841,T122-878829.ply,3.603859226311376,878829
3212504,116677219,35720439,T123-890541.ply,3.6073622663077836,890541
3249872,193730770,156716683,T124-899727.ply,3.612064548468591,899727
3296864,194920888,37083145,T125-911100.ply,3.618553396992646,911100
3324088,176008442,36182870,T126-918822.ply,3.6177714508359617,918822
3350504,276094071,37085615,T127-926376.ply,3.6167862725286493,926376
3374024,154671983,153612606,T128-933495.ply,3.6143996486322907,933495
3393512,228486013,48940135,T129-939330.ply,3.612694154344054,939330
