time_dec_ns,num_points,enc_file_size_bits,bpp,time_enc_ns,file
98994534,791178,10408224,13.155350629061981,144849180,T86-791178.ply
97655930,798111,10494488,13.149158450390985,144232601,T87-798111.ply
100843367,811284,10662944,13.14329384038142,146368650,T88-811284.ply
102420522,826935,10857440,13.129738129357204,150400017,T89-826935.ply
101600582,839484,11013232,13.119049320773238,152928706,T90-839484.ply
104461757,848712,11127824,13.111425312709141,153112181,T91-848712.ply
106358027,857484,11237408,13.105093506117898,156702394,T92-857484.ply
107031854,867342,11359560,13.096979046327746,157541900,T93-867342.ply
110046013,873087,11430496,13.092046955228975,159597604,T94-873087.ply
112232975,880953,11528056,13.085892209913583,161233578,T95-880953.ply
112803911,886953,11601984,13.080720173447748,162914656,T96-886953.ply
114578348,894534,11697552,13.076699152855007,164879026,T97-894534.ply
115827284,903522,11811096,13.072283796078015,167387517,T98-903522.ply
117830300,916206,11971224,13.066083391726314,169230357,T99-916206.ply
117019490,929592,12140480,13.060009122281603,170548386,T100-929592.ply
119297927,942480,12298688,13.04928274340039,173500277,T101-942480.ply
120934532,953982,12441920,13.04209094091922,174809583,T102-953982.ply
121911511,962652,12548968,13.035830185778453,177221231,T103-962652.ply
122414764,969252,12630656,13.03134375786689,178490963,T104-969252.ply
122981624,974082,12690144,13.027798481031372,179755238,T105-974082.ply
123388018,975831,12711024,13.02584566384958,179222579,T106-975831.ply
123670292,976170,12715088,13.025485315057828,180211050,T107-976170.ply
124986177,983427,12805936,13.021745386286934,181148519,T108-983427.ply
126339647,991746,12910472,13.017921927590331,182117199,T109-991746.ply
126963483,1003470,13059648,13.01448772758528,184487057,T110-1003470.ply
126325637,1009221,13131720,13.01173875692242,186208485,T111-1009221.ply
129040327,1017246,13233704,13.00934483890819,185174197,T112-1017246.ply
128813723,1026105,13345720,13.006193323295374,188057128,T113-1026105.ply
130590549,1037940,13492704,12.999502861437078,190825645,T114-1037940.ply
