Unnamed: 0,Filename,Symmetric Similarity,Cloud Size
44,hallway-T138,0.845898934955068,773601
45,hallway-T139,0.846100425791281,779703
47,hallway-T140,0.846187880032157,785886
48,hallway-T141,0.846217353655202,789534
49,hallway-T142,0.84632278119286,795027
50,hallway-T143,0.846097283794016,798534
51,hallway-T144,0.846281448733262,805695
52,hallway-T145,0.846501684365366,813138
53,hallway-T146,0.846391324589723,815556
54,hallway-T147,0.846398335275146,821283
55,hallway-T148,0.846208666665286,824988
56,hallway-T149,0.846200618187762,830592
58,hallway-T150,0.846403306390303,837690
59,hallway-T151,0.846443282982196,841986
60,hallway-T152,0.846361944017727,847089
61,hallway-T153,0.846215882045717,852129
62,hallway-T154,0.846110484742699,858699
63,hallway-T155,0.84597062303577,865581
64,hallway-T156,0.845911202927566,875055
65,hallway-T157,0.845562237631938,883110
66,hallway-T158,0.845517224489492,890790
67,hallway-T159,0.845313455296474,894879
69,hallway-T160,0.843985203386137,888336
70,hallway-T161,0.844122820170597,889185
71,hallway-T162,0.843678329555861,890604
72,hallway-T163,0.843597173937455,892380
73,hallway-T164,0.843523151088696,892788
74,hallway-T165,0.843523709644251,896679
75,hallway-T166,0.843821180835288,904530
76,hallway-T167,0.843941013828178,908724
77,hallway-T168,0.843954519500864,911340
