num_points,file,time_dec_ns,time_enc_ns,enc_file_size_bits,bpp
791178,T86-791178.ply,31260652,208236645,3129696,3.9557419442906654
798111,T87-798111.ply,32130866,174675305,3154800,3.9528336284050716
811284,T88-811284.ply,31611100,98377402,3204680,3.950133368832616
826935,T89-826935.ply,71294162,212715387,3267904,3.951826927146632
839484,T90-839484.ply,52130847,238949268,3317168,3.9514368350081717
848712,T91-848712.ply,137592171,170866127,3353080,3.9507866037006663
857484,T92-857484.ply,63622128,145918319,3379024,3.9406262974003012
867342,T93-867342.ply,34085317,236275809,3412592,3.934540239029126
873087,T94-873087.ply,106709009,104024621,3433088,3.9321258935249292
880953,T95-880953.ply,56891295,190513404,3457936,3.9252218903846177
886953,T96-886953.ply,124397989,136174429,3478568,3.9219304743317855
894534,T97-894534.ply,142410335,172319419,3508152,3.9217648518670054
903522,T98-903522.ply,146493338,242335497,3549600,3.928625977009968
916206,T99-916206.ply,144163829,270149678,3601624,3.9310198798086895
929592,T100-929592.ply,43332421,231477566,3653248,3.929947762028933
942480,T101-942480.ply,48713049,224641515,3696088,3.921661998132586
953982,T102-953982.ply,45850801,125614916,3739120,3.9194869504875354
962652,T103-962652.ply,53538719,239445479,3770744,3.91703751719209
969252,T104-969252.ply,37487830,155623609,3794976,3.915365663418801
974082,T105-974082.ply,130492956,119158671,3811184,3.912590521126558
975831,T106-975831.ply,37522079,156678114,3816912,3.9114477814293664
976170,T107-976170.ply,167424108,236164946,3818000,3.9112039911081062
983427,T108-983427.ply,178869946,290198896,3861560,3.926636140760829
991746,T109-991746.ply,38907700,289462065,3895488,3.9279089605604662
1003470,T110-1003470.ply,40009617,245641254,3933864,3.920260695387007
1009221,T111-1009221.ply,62075697,182421339,3952520,3.9164068127793614
1017246,T112-1017246.ply,40045666,127947507,3981448,3.9139480518969845
1026105,T113-1026105.ply,175847908,390027782,4014416,3.912285779720399
1037940,T114-1037940.ply,39488142,249955374,4060544,3.9121182341946548
1051344,T115-1051344.ply,41284627,139300878,4113656,3.9127592871600543
1064781,T116-1064781.ply,41691643,198009417,4162544,3.909295902162041
1073724,T117-1073724.ply,41727011,132375640,4197256,3.909064154289184
1081455,T118-1081455.ply,160803231,161474685,4224872,3.9066553855685164
1087956,T119-1087956.ply,145891953,175894376,4246008,3.9027387136979805
1097184,T120-1097184.ply,169787220,264910818,4278456,3.8994881441945926
1103817,T121-1103817.ply,170087938,222460690,4302344,3.89769681025025
1108713,T122-1108713.ply,41922748,265677776,4318584,3.89513246439791
1112754,T123-1112754.ply,179645919,141635182,4332760,3.89372673564867
1117254,T124-1117254.ply,149340326,298234636,4347784,3.891491102291869
1123170,T125-1123170.ply,182873351,260867380,4367192,3.8882733691248874
1133790,T126-1133790.ply,169498799,275345858,4407824,3.8876899602219104
1143975,T127-1143975.ply,103656395,311938867,4447616,3.8878611857776613
1153476,T128-1153476.ply,171830874,213019382,4481832,3.885500868678672
1157826,T129-1157826.ply,142184129,308989338,4496384,3.8834712642486866
1161549,T130-1161549.ply,44807200,260141505,4509960,3.8827117926148618
