bpp,enc_file_size_bits,time_dec_ns,time_enc_ns,file,num_points
13.139096945392865,6615128,65119211,88027433,T87-503469.ply,503469
13.132698696777561,6692200,201685892,186358112,T88-509583.ply,509583
13.132494952027255,6757496,66585851,91220852,T89-514563.ply,514563
13.126589730375551,6800768,67112774,90644388,T90-518091.ply,518091
13.103069884948905,6825376,67579178,91371001,T91-520899.ply,520899
13.09577582601422,6888640,68264107,92863944,T92-526020.ply,526020
13.083729186036683,6965712,68746851,93680999,T93-532395.ply,532395
13.076346571016618,7010504,69068636,93787613,T94-536121.ply,536121
13.071107763550646,7028400,68628747,94727099,T95-537705.ply,537705
13.066607354685647,7049696,69783985,97632509,T96-539520.ply,539520
13.06197993451385,7096848,69812925,98442650,T97-543321.ply,543321
13.058006500225904,7167592,70478216,99664979,T98-548904.ply,548904
13.05614107299531,7232136,70811560,100139184,T99-553926.ply,553926
13.04897862945577,7305288,72221231,101418142,T100-559836.ply,559836
13.045664374441513,7387264,72987097,102392274,T101-566262.ply,566262
13.041350140523694,7498672,73586981,103243723,T102-574992.ply,574992
13.030355106205997,7597544,75211650,104842508,T103-583065.ply,583065
13.022673751789943,7675616,74809629,106374903,T104-589404.ply,589404
13.015496155303602,7762520,75671161,107926349,T105-596406.ply,596406
13.006760913737658,7822240,77351195,106839245,T106-601398.ply,601398
13.000657151118471,7913344,77947565,109297518,T107-608688.ply,608688
12.99444151892809,7995168,77693111,110372362,T108-615276.ply,615276
12.987673468068952,8039240,78725046,109586175,T109-618990.ply,618990
12.98176985283943,8068144,79028446,109313915,T110-621498.ply,621498
12.978860449602456,8132528,80203105,112805622,T111-626598.ply,626598
12.969261188867096,8192384,79987190,113570581,T112-631677.ply,631677
12.964915012448904,8243080,80711693,113642556,T113-635799.ply,635799
12.958572757620534,8287720,81063492,112658617,T114-639555.ply,639555
12.950979756334831,8387184,82467138,114995599,T115-647610.ply,647610
12.942900802591788,8461512,82947133,255001985,T116-653757.ply,653757
12.940751592376067,8506616,83283274,117236476,T117-657351.ply,657351
12.928679434346352,8593008,83113759,133889695,T118-664647.ply,664647
12.926183948342247,8627840,84680445,118499182,T119-667470.ply,667470
12.918613215253382,8682432,84794813,118842146,T120-672087.ply,672087
12.9104868963428,8779144,86066316,117924525,T121-680001.ply,680001
12.904833889963086,8809872,86607743,118484103,T122-682680.ply,682680
12.900182292805997,8845784,87887261,121923328,T123-685710.ply,685710
12.88803906130583,8937520,88133143,124715113,T124-693474.ply,693474
12.88006378764886,9013752,89207251,124751576,T125-699822.ply,699822
12.877306036164493,9076376,89433763,126533995,T126-704835.ply,704835
12.875904087051978,9125488,90047178,127417020,T127-708726.ply,708726
12.87028073708052,9165712,90033163,127747198,T128-712161.ply,712161
12.864727289960095,9229760,90454927,128067087,T129-717447.ply,717447
12.857415185560683,9321176,91168796,130272639,T130-724965.ply,724965
12.851285284080598,9418360,93091618,131569930,T131-732873.ply,732873
12.848309485008947,9484712,94670862,132875464,T132-738207.ply,738207
12.843241552361807,9525280,93973314,134282233,T133-741657.ply,741657
12.838864253659265,9624064,95604016,133423282,T134-749604.ply,749604
12.834352687201534,9726296,96667269,135070481,T135-757833.ply,757833
12.831001505589567,9783536,97850586,137112953,T136-762492.ply,762492
12.828036611400488,9848584,97574936,137405458,T137-767739.ply,767739
12.821524274141321,9918744,97110288,137865145,T138-773601.ply,773601
12.821497416323908,9996960,98263121,137576470,T139-779703.ply,779703
12.816851299043373,10072584,100434469,140524862,T140-785886.ply,785886
12.816512018481788,10119072,99536444,139607075,T141-789534.ply,789534
12.811449170908661,10185448,100413916,140895532,T142-795027.ply,795027
12.807790275680183,10227456,100336125,141832886,T143-798534.ply,798534
12.80352490706781,10315736,101559938,232477402,T144-805695.ply,805695
12.798329434856075,10406808,103217377,145068295,T145-813138.ply,813138
12.796266596040002,10436072,103814424,144415346,T146-815556.ply,815556
12.79103061916538,10505056,106238337,145622867,T147-821283.ply,821283
12.785000509098314,10547472,108787622,144846995,T148-824988.ply,824988
12.7819482971182,10616584,105126856,145712817,T149-830592.ply,830592
12.779505545010684,10705264,106735452,293801841,T150-837690.ply,837690
12.77740960063469,10758400,107663341,146628450,T151-841986.ply,841986
12.773335505478173,10820152,108089427,146101150,T152-847089.ply,847089
12.769803633018006,10881520,108576938,147760740,T153-852129.ply,852129
12.76444481710122,10960816,108772055,149971003,T154-858699.ply,858699
12.758246772976763,11043296,111038859,150439771,T155-865581.ply,865581
12.750713955122821,11157576,111185483,152914628,T156-875055.ply,875055
12.743490618382761,11253904,110951527,153443399,T157-883110.ply,883110
12.736685414070656,11345712,112757109,154147728,T158-890790.ply,890790
12.728040327239771,11390056,112195843,155838732,T159-894879.ply,894879
12.723338916806254,11302600,114098879,153312923,T160-888336.ply,888336
12.720547467624847,11310920,113476466,153784454,T161-889185.ply,889185
12.706567677665944,11316520,114177350,151522611,T162-890604.ply,890604
12.714099374705842,11345808,112559252,153455076,T163-892380.ply,892380
12.713145786009669,11350144,114459628,154282656,T164-892788.ply,892788
12.709716632150412,11396536,116053556,156198921,T165-896679.ply,896679
12.706886449316219,11493760,113681440,158588871,T166-904530.ply,904530
12.703395090258429,11543880,117197033,157380551,T167-908724.ply,908724
12.703421335615687,11577136,115070328,270338926,T168-911340.ply,911340
