file,time_dec_ns,time_enc_ns,num_points,enc_file_size_bits,bpp
T86-868341.ply,109678702,158822437,868341,11461080,13.198823964318166
T87-876081.ply,109205185,159805844,876081,11560344,13.195519592366459
T88-892290.ply,110449420,162229147,892290,11758264,13.177626108103867
T89-903684.ply,112397976,164817016,903684,11844816,13.107254305708633
T90-910038.ply,115309082,168009313,910038,11925312,13.104191253552049
T91-914850.ply,114651346,167191384,914850,11984984,13.100490790840029
T92-921216.ply,116195818,168810104,921216,12049896,13.080424135056273
T93-928971.ply,117894167,168959878,928971,12146336,13.075043246775195
T94-938901.ply,117597319,172449172,938901,12270184,13.068666451521512
T95-951735.ply,119605202,175728584,951735,12431448,13.061879619852165
T96-964629.ply,121633805,177590973,964629,12594192,13.05599562111444
T97-973563.ply,122344941,180604952,973563,12705576,13.050594568610352
T98-981783.ply,122499152,180519763,981783,12807816,13.04546524028222
T99-986343.ply,124414132,183367128,986343,12864368,13.042489276042918
T100-990075.ply,124520913,183655946,990075,12911408,13.040838320329268
T101-996000.ply,126250594,184715096,996000,12984912,13.037060240963855
T102-1003683.ply,125140900,186453006,1003683,13080800,13.03280019687491
T103-1011159.ply,125906308,187698846,1011159,13174576,13.02918334307463
T104-1020270.ply,127130300,187327545,1020270,13289952,13.025916669116999
T105-1035426.ply,129498288,190828035,1035426,13479760,13.018564339701726
T106-1042449.ply,130925755,192838455,1042449,13567728,13.015243911212922
T107-1053144.ply,133171688,196320922,1053144,13691504,13.00060010786749
T108-1057554.ply,134078472,197151046,1057554,13746480,12.998371714352174
T109-1065120.ply,132790080,196055417,1065120,13841648,12.995388313053928
T110-1071159.ply,135674113,199819811,1071159,13916352,12.991863952970567
T111-1075725.ply,136043595,199715087,1075725,13972488,12.988903297775918
T112-1079748.ply,137725117,200351968,1079748,14021440,12.985844845278713
T113-1082175.ply,137180050,201238576,1082175,14050880,12.983925889990067
T114-1082778.ply,137294190,202504795,1082778,14057520,12.98282750480708
T115-1085112.ply,137168179,201388779,1085112,14086032,12.981177979784576
T116-1087941.ply,132465338,200438763,1087941,14120208,12.978836168505461
T117-1091295.ply,133291073,199033917,1091295,14161816,12.977074026729712
T118-1092495.ply,133138122,199612193,1092495,14176336,12.976110645815313
