file,enc_file_size_bits,time_dec_ns,time_enc_ns,bpp,num_points
T86-495705.ply,1678192,360626628,751136711,3.38546514560071,495705
T87-503469.ply,1704432,235904193,868820000,3.385376259511509,503469
T88-509583.ply,1723352,239695364,622747502,3.3818867583887218,509583
T89-514563.ply,1739240,362102604,833197126,3.3800331543465036,514563
T90-518091.ply,1753648,364758428,626733155,3.3848262177879946,518091
T91-520899.ply,1762056,268728177,649557722,3.3827210265329746,520899
T92-526020.ply,1777664,502536856,975735865,3.379460857001635,526020
T93-532395.ply,1798192,248516089,903808866,3.37755238122071,532395
T94-536121.ply,1809072,266291321,920029711,3.3743725763400425,536121
T95-537705.ply,1813656,364044109,653855949,3.37295729070773,537705
T96-539520.ply,1818848,384243275,652518157,3.3712336892052193,539520
T97-543321.ply,1830552,249422271,941125691,3.36919058898883,543321
T98-548904.ply,1850152,412953699,652233811,3.370629472548934,548904
T99-553926.ply,1868216,395704733,667001673,3.3726815495210554,553926
T100-559836.ply,1884992,261376880,911234372,3.367043205510185,559836
T101-566262.ply,1905264,372836991,724228408,3.364633332273753,566262
T102-574992.ply,1935864,263671138,814151295,3.3667668419734533,574992
T103-583065.ply,1963256,420445505,824310752,3.3671305943591197,583065
T104-589404.ply,1985536,296201752,889447117,3.3687182306194052,589404
T105-596406.ply,2007296,278401814,1100757362,3.3656535983876754,596406
T106-601398.ply,2021816,283397301,927409660,3.3618601990695014,601398
T107-608688.ply,2046224,278735560,729070088,3.3616959756065503,608688
T108-615276.ply,2069304,500971537,924145539,3.36321260702514,615276
T109-618990.ply,2080592,492458935,983380347,3.3612691642837524,618990
T110-621498.ply,2088016,415191540,992170832,3.35965039308252,621498
T111-626598.ply,2104520,410653781,864357117,3.358644617442124,626598
T112-631677.ply,2120720,418593107,865931883,3.357285448100849,631677
T113-635799.ply,2132576,478640219,782622815,3.354166961571188,635799
T114-639555.ply,2143640,448771606,768792332,3.351768026205721,639555
T115-647610.ply,2171480,405848094,969249784,3.3530674325597194,647610
T116-653757.ply,2191552,338237827,1050930688,3.3522424998891025,653757
T117-657351.ply,2203776,341804702,974803912,3.352510302714988,657351
T118-664647.ply,2228032,301631339,992150595,3.352203500504779,664647
T119-667470.ply,2236376,304948696,928741884,3.3505266154284086,667470
T120-672087.ply,2251696,309540337,987867920,3.350304350478435,672087
T121-680001.ply,2277576,447601898,1066098778,3.3493715450418455,680001
T122-682680.ply,2285344,429930661,815046465,3.347606492060702,682680
T123-685710.ply,2293592,312708323,1148825620,3.344842571932741,685710
T124-693474.ply,2318512,437616050,876457494,3.3433293822118784,693474
T125-699822.ply,2338264,461736733,831285929,3.341226769092712,699822
T126-704835.ply,2356936,317863633,962355344,3.3439542587981586,704835
T127-708726.ply,2369504,751853755,891444117,3.3433287335303064,708726
T128-712161.ply,2380408,471433539,974970614,3.342513841673442,712161
T129-717447.ply,2396848,328528356,1075346293,3.3408014808062476,717447
T130-724965.ply,2422352,596977036,975418510,3.341336478312746,724965
T131-732873.ply,2448816,333864006,1199920018,3.3413920283596203,732873
T132-738207.ply,2465688,383123543,1029861527,3.340103792025814,738207
T133-741657.ply,2475752,520134723,1153141605,3.3381360925603074,741657
T134-749604.ply,2503296,525219732,907631647,3.339491251380729,749604
T135-757833.ply,2531568,479014577,898569220,3.340535447783351,757833
T136-762492.ply,2547712,344352909,1075762054,3.341296695571888,762492
T137-767739.ply,2564408,484909307,1239053239,3.340208065501427,767739
T138-773601.ply,2582872,481662734,1167171077,3.338765073985168,773601
T139-779703.ply,2604808,619518165,933519044,3.340769498129416,779703
T140-785886.ply,2625808,360827392,945538428,3.341207248888516,785886
T141-789534.ply,2638264,482238142,1058632696,3.3415457725696425,789534
T142-795027.ply,2656456,363569095,955792782,3.3413406085579482,795027
T143-798534.ply,2666776,368020274,1228405927,3.339589798305395,798534
T144-805695.ply,2692184,488433568,1079689386,3.3414431019182196,805695
T145-813138.ply,2717304,409314360,1226966254,3.3417501088376143,813138
T146-815556.ply,2724624,375061504,980849247,3.340817797919456,815556
T147-821283.ply,2743240,377479618,1009022095,3.3401884612246935,821283
T148-824988.ply,2754456,629851454,1041109654,3.338783109572503,824988
T149-830592.ply,2772344,380553862,1114726532,3.3377928032054247,830592
T150-837690.ply,2797800,491728376,1233026717,3.339899007986248,837690
T151-841986.ply,2812936,526192964,1210891580,3.3408346457066984,841986
T152-847089.ply,2829416,378940424,1270432982,3.340163784442957,847089
T153-852129.ply,2845200,511777663,1221593298,3.338931077336882,852129
T154-858699.ply,2866824,453998475,1127815369,3.3385668319166553,858699
T155-865581.ply,2889072,388287754,1162302955,3.33772575876781,865581
T156-875055.ply,2920576,511362830,1191697458,3.337591351400769,875055
T157-883110.ply,2944912,439327462,1049993261,3.3347057557948614,883110
T158-890790.ply,2970128,399581524,1254280116,3.33426284533953,890790
T159-894879.ply,2981640,527865799,1187713283,3.3318917976620304,894879
T160-888336.ply,2953616,399422632,1045639552,3.324886079141226,888336
T161-889185.ply,2956432,404717293,1249454557,3.324878399883039,889185
T162-890604.ply,2959208,401657680,1192719463,3.322697854489762,890604
T163-892380.ply,2961480,518594240,1075892918,3.3186310764472533,892380
T164-892788.ply,2962472,408279541,1077408608,3.3182256033907267,892788
T165-896679.ply,2975064,408869439,1163395739,3.317869605511002,896679
T166-904530.ply,3004408,544727065,1135898854,3.321512829867445,904530
T167-908724.ply,3019640,532719814,1110780427,3.32294514065877,908724
T168-911340.ply,3028848,670716586,1122457174,3.323510435183356,911340
