time_dec_ns,num_points,enc_file_size_bits,bpp,time_enc_ns,file
43121669,791178,3129696,3.9557419442906654,217386587,T86-791178.ply
143933035,798111,3154800,3.9528336284050716,171003454,T87-798111.ply
131904549,811284,3204680,3.950133368832616,211496222,T88-811284.ply
136114678,826935,3267904,3.951826927146632,163039953,T89-826935.ply
33607019,839484,3317168,3.9514368350081717,205084962,T90-839484.ply
33922067,848712,3353080,3.9507866037006663,112154854,T91-848712.ply
101810988,857484,3379024,3.9406262974003012,331893212,T92-857484.ply
120359037,867342,3412592,3.934540239029126,123773719,T93-867342.ply
171993584,873087,3433088,3.9321258935249292,367360399,T94-873087.ply
49041633,880953,3457936,3.9252218903846177,304381815,T95-880953.ply
34961609,886953,3478568,3.9219304743317855,205150139,T96-886953.ply
35620045,894534,3508152,3.9217648518670054,271402943,T97-894534.ply
35642536,903522,3549600,3.928625977009968,108922111,T98-903522.ply
95715464,916206,3601624,3.9310198798086895,114269842,T99-916206.ply
37359709,929592,3653248,3.929947762028933,222909288,T100-929592.ply
136317765,942480,3696088,3.921661998132586,122809393,T101-942480.ply
37511463,953982,3739120,3.9194869504875354,168342623,T102-953982.ply
37782796,962652,3770744,3.91703751719209,202526227,T103-962652.ply
148604344,969252,3794976,3.915365663418801,118263666,T104-969252.ply
157902126,974082,3811184,3.912590521126558,211546651,T105-974082.ply
127584448,975831,3816912,3.9114477814293664,249195847,T106-975831.ply
157844212,976170,3818000,3.9112039911081062,149996444,T107-976170.ply
38372135,983427,3861560,3.926636140760829,228997247,T108-983427.ply
66576805,991746,3895488,3.9279089605604662,235297011,T109-991746.ply
130483537,1003470,3933864,3.920260695387007,183398869,T110-1003470.ply
39547945,1009221,3952520,3.9164068127793614,177591603,T111-1009221.ply
39564779,1017246,3981448,3.9139480518969845,130509396,T112-1017246.ply
39545375,1026105,4014416,3.912285779720399,216708171,T113-1026105.ply
40415708,1037940,4060544,3.9121182341946548,135136025,T114-1037940.ply
171552447,1051344,4113656,3.9127592871600543,132039189,T115-1051344.ply
175269759,1064781,4162544,3.909295902162041,512108106,T116-1064781.ply
154405262,1073724,4197256,3.909064154289184,159703669,T117-1073724.ply
41787362,1081455,4224872,3.9066553855685164,293797308,T118-1081455.ply
41771037,1087956,4246008,3.9027387136979805,131155798,T119-1087956.ply
149092269,1097184,4278456,3.8994881441945926,133156362,T120-1097184.ply
43356489,1103817,4302344,3.89769681025025,228178791,T121-1103817.ply
150978466,1108713,4318584,3.89513246439791,229805082,T122-1108713.ply
43066238,1112754,4332760,3.89372673564867,216331980,T123-1112754.ply
171125329,1117254,4347784,3.891491102291869,263585099,T124-1117254.ply
164852726,1123170,4367192,3.8882733691248874,230048929,T125-1123170.ply
179348994,1133790,4407824,3.8876899602219104,278269426,T126-1133790.ply
124166737,1143975,4447616,3.8878611857776613,262322115,T127-1143975.ply
144674711,1153476,4481832,3.885500868678672,313966468,T128-1153476.ply
133896263,1157826,4496384,3.8834712642486866,694148586,T129-1157826.ply
44539614,1161549,4509960,3.8827117926148618,260233692,T130-1161549.ply
