Filename,Symmetric Similarity
hallway-T0,0.999055188717353
hallway-T1,0.997570265058925
hallway-T2,0.995373330558565
hallway-T3,0.985613802174683
hallway-T4,0.972539171217604
hallway-T5,0.969897935774581
hallway-T6,0.967907128440646
hallway-T7,0.966290776180651
hallway-T8,0.964399184232294
hallway-T9,0.963615277204822
hallway-T10,0.963822132178342
hallway-T11,0.963323017520831
hallway-T12,0.962852819595722
hallway-T13,0.962580023546309
hallway-T14,0.960404508009353
hallway-T15,0.960258008729053
hallway-T16,0.960286633788329
hallway-T17,0.954671301095391
hallway-T18,0.954946437494416
hallway-T19,0.955458763886862
hallway-T20,0.955889766935053
hallway-T21,0.955551055504111
hallway-T22,0.94198002781283
hallway-T23,0.940546360217742
hallway-T24,0.938224916266574
hallway-T25,0.93598808945542
hallway-T26,0.929866011184224
hallway-T27,0.930751422333102
hallway-T28,0.931181515778574
hallway-T29,0.930871130949297
hallway-T30,0.930848793365878
hallway-T31,0.930904849458188
hallway-T32,0.930957959355662
hallway-T33,0.9308021601399
hallway-T34,0.930714982309125
hallway-T35,0.929187505134856
hallway-T36,0.921034379209193
hallway-T37,0.920402022575885
hallway-T38,0.92032068964487
hallway-T39,0.917756349340079
hallway-T40,0.916816830403535
hallway-T41,0.910788020227589
hallway-T42,0.910958670072694
hallway-T43,0.910626423401816
hallway-T44,0.910683243601711
hallway-T45,0.910514583491643
hallway-T46,0.907774918565074
hallway-T47,0.907336251121614
hallway-T48,0.906117150816122
hallway-T49,0.905474583696361
hallway-T50,0.898634271187729
hallway-T51,0.89856327402458
hallway-T52,0.89884128422043
hallway-T53,0.899074451296468
hallway-T54,0.894064548811829
hallway-T55,0.893411280374745
hallway-T56,0.894571400429447
hallway-T57,0.889473159526132
hallway-T58,0.887090165395066
hallway-T59,0.886994408055539
hallway-T60,0.882974888564074
hallway-T61,0.881113093558967
hallway-T62,0.879778688450371
hallway-T63,0.878669037187217
hallway-T64,0.878860618555558
hallway-T65,0.875874197306731
hallway-T66,0.875678330596956
hallway-T67,0.875347465176544
hallway-T68,0.875156466539262
hallway-T69,0.874627360144219
hallway-T70,0.874506234886791
hallway-T71,0.87435375771477
hallway-T72,0.87143559194475
hallway-T73,0.869602601978225
hallway-T74,0.865085390893761
hallway-T75,0.86544659960095
hallway-T76,0.863911185699709
hallway-T77,0.863638928837335
hallway-T78,0.863839611248733
hallway-T79,0.863651703835281
hallway-T80,0.863485498781759
hallway-T81,0.854023663083446
hallway-T82,0.853580416359458
hallway-T83,0.853791182787199
hallway-T84,0.854006881649116
hallway-T85,0.853288234862661
hallway-T86,0.852782288186641
hallway-T87,0.852705574077392
hallway-T88,0.852289418507108
hallway-T89,0.851963998520878
hallway-T90,0.851167815366703
hallway-T91,0.849573459427702
hallway-T92,0.849142693676231
hallway-T93,0.849027523987685
hallway-T94,0.848614600012489
hallway-T95,0.848485523295887
hallway-T96,0.848384095831488
hallway-T97,0.848337405634039
hallway-T98,0.848503194015847
hallway-T99,0.848657916584008
hallway-T100,0.848192070895234
hallway-T101,0.847943144681099
hallway-T102,0.848071975414996
hallway-T103,0.84813429806969
hallway-T104,0.848189614173811
hallway-T105,0.847880130661588
hallway-T106,0.847552114417381
hallway-T107,0.847568130990778
hallway-T108,0.847849194514076
hallway-T109,0.847812522648893
hallway-T110,0.84758881402848
hallway-T111,0.847456545290809
hallway-T112,0.847281496370031
hallway-T113,0.846951733460113
hallway-T114,0.846799987301741
hallway-T115,0.846875205878628
hallway-T116,0.84676740467748
hallway-T117,0.846724938698066
hallway-T118,0.846725056792329
hallway-T119,0.84661647364603
hallway-T120,0.846662278510771
hallway-T121,0.846585391365732
hallway-T122,0.846414009549763
hallway-T123,0.846148110148986
hallway-T124,0.846054744608279
hallway-T125,0.845889745752899
hallway-T126,0.846142723542459
hallway-T127,0.846193428441888
hallway-T128,0.846181405369784
hallway-T129,0.846091025483859
hallway-T130,0.846090226606787
hallway-T131,0.846139342780206
hallway-T132,0.845915634694958
hallway-T133,0.845728743424409
hallway-T134,0.845882120430094
hallway-T135,0.846077897316376
hallway-T136,0.846074985552222
hallway-T137,0.845921592253688
hallway-T138,0.845898934955068
hallway-T139,0.846100425791281
hallway-T140,0.846187880032157
hallway-T141,0.846217353655202
hallway-T142,0.84632278119286
hallway-T143,0.846097283794016
hallway-T144,0.846281448733262
hallway-T145,0.846501684365366
hallway-T146,0.846391324589723
hallway-T147,0.846398335275146
hallway-T148,0.846208666665286
hallway-T149,0.846200618187762
hallway-T150,0.846403306390303
hallway-T151,0.846443282982196
hallway-T152,0.846361944017727
hallway-T153,0.846215882045717
hallway-T154,0.846110484742699
hallway-T155,0.84597062303577
hallway-T156,0.845854289239172
hallway-T157,0.845562237631938
hallway-T158,0.845517224489492
hallway-T159,0.845313455296474
hallway-T160,0.843985203386137
hallway-T161,0.844122820170597
hallway-T162,0.843678329555861
hallway-T163,0.843597173937455
hallway-T164,0.843523151088696
hallway-T165,0.843523709644251
hallway-T166,0.843821180835288
hallway-T167,0.843941013828178
hallway-T168,0.843954519500864
